Date-Time,Total Power
2/1/2017 1:00,15062
2/1/2017 1:00,15101
2/1/2017 1:01,15082
2/1/2017 1:01,15052
2/1/2017 1:02,15075
2/1/2017 1:02,15105
2/1/2017 1:03,15081
2/1/2017 1:03,15060
2/1/2017 1:04,15063
2/1/2017 1:04,15000
2/1/2017 1:05,15080
2/1/2017 1:05,15116
2/1/2017 1:06,15222
2/1/2017 1:06,15185
2/1/2017 1:07,15261
2/1/2017 1:07,15362
2/1/2017 1:08,15361
2/1/2017 1:08,15402
2/1/2017 1:09,15398
2/1/2017 1:09,15423
2/1/2017 1:11,15274
2/1/2017 1:12,15201
2/1/2017 1:12,15158
2/1/2017 1:13,15141
2/1/2017 1:13,15174
2/1/2017 1:14,15125
2/1/2017 1:14,15170
2/1/2017 1:15,15220
2/1/2017 1:15,15250
2/1/2017 1:16,15170
2/1/2017 1:16,15188
2/1/2017 1:17,15174
2/1/2017 1:17,15133
2/1/2017 1:18,15096
2/1/2017 1:18,15109
2/1/2017 1:19,14994
2/1/2017 1:19,15141
2/1/2017 1:20,14691
2/1/2017 1:20,14955
2/1/2017 1:21,15055
2/1/2017 1:21,15006
2/1/2017 1:22,15067
2/1/2017 1:22,14994
2/1/2017 1:23,15042
2/1/2017 1:24,15060
2/1/2017 1:24,15059
2/1/2017 1:25,15041
2/1/2017 1:25,15073
2/1/2017 1:26,15095
2/1/2017 1:26,15127
2/1/2017 1:27,15115
2/1/2017 1:27,15050
2/1/2017 1:28,14982
2/1/2017 1:28,15066
2/1/2017 1:29,15029
2/1/2017 1:29,15030
2/1/2017 1:30,14972
2/1/2017 1:30,15030
2/1/2017 1:31,15011
2/1/2017 1:31,15053
2/1/2017 1:32,15074
2/1/2017 1:32,15129
2/1/2017 1:33,15092
2/1/2017 1:33,15154
2/1/2017 1:34,15081
2/1/2017 1:34,15073
2/1/2017 1:35,15077
2/1/2017 1:35,15174
2/1/2017 1:36,15133
2/1/2017 1:36,15135
2/1/2017 1:37,15075
2/1/2017 1:37,15111
2/1/2017 1:38,15293
2/1/2017 1:38,15320
2/1/2017 1:39,15283
2/1/2017 1:39,15315
2/1/2017 1:40,15352
2/1/2017 1:40,15326
2/1/2017 1:41,15369
2/1/2017 1:41,15410
2/1/2017 1:42,15467
2/1/2017 1:42,15462
2/1/2017 1:43,15370
2/1/2017 1:43,15180
2/1/2017 1:44,15255
2/1/2017 1:44,15405
2/1/2017 1:45,15436
2/1/2017 1:45,15504
2/1/2017 1:46,15480
2/1/2017 1:46,15450
2/1/2017 1:47,15500
2/1/2017 1:47,15467
2/1/2017 1:48,15517
2/1/2017 1:48,15546
2/1/2017 1:49,15582
2/1/2017 1:49,15498
2/1/2017 1:50,15570
2/1/2017 1:50,15512
2/1/2017 1:51,15417
2/1/2017 1:51,15321
2/1/2017 1:52,15395
2/1/2017 1:52,15375
2/1/2017 1:53,15391
2/1/2017 1:53,15409
2/1/2017 1:54,15381
2/1/2017 1:54,15376
2/1/2017 1:55,15377
2/1/2017 1:55,15425
2/1/2017 1:56,15446
2/1/2017 1:56,15514
2/1/2017 1:57,15572
2/1/2017 1:57,15697
2/1/2017 1:58,15655
2/1/2017 1:58,15643
2/1/2017 1:59,15732
2/1/2017 1:59,15599
2/1/2017 2:00,15456
2/1/2017 2:00,16862
2/1/2017 2:01,16840
2/1/2017 2:01,16819
2/1/2017 2:02,16671
2/1/2017 2:02,16746
2/1/2017 2:03,16707
2/1/2017 2:03,16668
2/1/2017 2:04,16614
2/1/2017 2:04,16672
2/1/2017 2:05,16648
2/1/2017 2:05,16674
2/1/2017 2:06,16713
2/1/2017 2:06,16759
2/1/2017 2:07,16826
2/1/2017 2:07,16868
2/1/2017 2:08,16909
2/1/2017 2:08,17037
2/1/2017 2:09,16935
2/1/2017 2:09,16953
2/1/2017 2:10,16928
2/1/2017 2:10,17041
2/1/2017 2:11,16980
2/1/2017 2:11,17001
2/1/2017 2:12,16996
2/1/2017 2:12,17010
2/1/2017 2:13,16979
2/1/2017 2:13,16907
2/1/2017 2:14,16787
2/1/2017 2:14,16635
2/1/2017 2:15,16722
2/1/2017 2:15,16712
2/1/2017 2:16,16765
2/1/2017 2:16,16744
2/1/2017 2:17,16731
2/1/2017 2:17,16741
2/1/2017 2:18,16652
2/1/2017 2:18,16679
2/1/2017 2:19,16667
2/1/2017 2:19,16681
2/1/2017 2:20,16684
2/1/2017 2:20,16698
2/1/2017 2:21,16710
2/1/2017 2:21,16729
2/1/2017 2:22,16694
2/1/2017 2:22,16703
2/1/2017 2:23,16711
2/1/2017 2:23,16680
2/1/2017 2:24,16640
2/1/2017 2:24,16681
2/1/2017 2:25,16661
2/1/2017 2:25,16820
2/1/2017 2:26,16845
2/1/2017 2:26,16878
2/1/2017 2:27,16964
2/1/2017 2:27,16938
2/1/2017 2:28,16981
2/1/2017 2:28,17009
2/1/2017 2:29,16801
2/1/2017 2:29,16797
2/1/2017 2:30,16759
2/1/2017 2:30,16793
2/1/2017 2:31,16718

